wave_id,app_name,cloudendure_projectname,aws_accountid,server_name,server_os,server_os_version,server_fqdn,server_tier,server_environment,subnet_IDs,securitygroup_IDs,subnet_IDs_test,securitygroup_IDs_test,instanceType,tenancy
1,OOP-Bank,cloudendure_CoE_test_migration_factory,9.13E+11,oopbank-web-prod,windows,Window Server 2016,ip-10-104-208-55.us-east-2.compute.internal,web,prod,subnet-0f5fb36a682548c81,sg-0d7b7efca08dd1683,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.medium,Shared
1,OOP-Bank,cloudendure_CoE_test_migration_factory,9.13E+11,oopbank-app-prod,windows,Window Server 2016,ip-10-104-208-23.us-east-2.compute.internal,app,prod,subnet-06ee008e4023b58e0,sg-0d7b7efca08dd1683,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.medium,Shared
1,OOP-Bank,cloudendure_CoE_test_migration_factory,9.13E+11,oopbank-data-prod,windows,Window Server 2016,ip-10-104-208-14.us-east-2.compute.internal,data,prod,subnet-030f103e184a70c92,sg-0d7b7efca08dd1683,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.medium,Shared
2,OodoERP,cloudendure_CoE_test_migration_factory,9.13E+11,oodoerp-app-prod,linux,debian,ip-10-104-208-11.us-east-2.compute.internal,web,prod,subnet-0f5fb36a682548c81,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t3a.small,Shared
3,OrangeHRM,cloudendure_CoE_test_migration_factory,9.13E+11,orangehrm-app-prod,linux,debian,ip-10-104-208-33.us-east-2.compute.internal,web,prod,subnet-0f5fb36a682548c81,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t3a.small,Shared
4,SuiteCRM,cloudendure_CoE_test_migration_factory,9.13E+11,suitecrm-app-prod,linux,CentOS 7,ip-10-104-208-13.us-east-2.compute.internal,web,prod,subnet-0f5fb36a682548c81,sg-0569b457323c3a741,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.medium,Shared
5,Petclinic,cloudendure_CoE_test_migration_factory,9.13E+11,petclinic-app-prod,linux,Ubuntu,ip-10-104-208-21.us-east-2.compute.internal,app,prod,subnet-06ee008e4023b58e0,sg-0e2fd2c04b155092f,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.medium,Shared
5,Petclinic,cloudendure_CoE_test_migration_factory,9.13E+11,petclinic-data-prod,linux,Ubuntu,ip-10-104-208-31.us-east-2.compute.internal,data,prod,subnet-030f103e184a70c92,sg-0e2fd2c04b155092f,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.medium,Shared
5,Petclinic,cloudendure_CoE_test_migration_factory,9.13E+11,petclinic-web-prod,linux,Ubuntu,ip-10-104-208-43.us-east-2.compute.internal,web,prod,subnet-0f5fb36a682548c81,sg-0e2fd2c04b155092f,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.medium,Shared
6,App06,cloudendure_CoE_test_migration_factory,9.13E+11,app06-data-prod,linux,Amazon Linux,ip-10-104-208-59.us-east-2.compute.internal,data,prod,subnet-030f103e184a70c92,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.micro,Shared
6,App06,cloudendure_CoE_test_migration_factory,9.13E+11,app06-web-prod,linux,Amazon Linux,ip-10-104-208-20.us-east-2.compute.internal,web,prod,subnet-0f5fb36a682548c81,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.small,Shared
6,App07,cloudendure_CoE_test_migration_factory,9.13E+11,app07-data-prod,linux,Amazon Linux,ip-10-104-208-61.us-east-2.compute.internal,data,prod,subnet-030f103e184a70c92,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.micro,Shared
6,App07,cloudendure_CoE_test_migration_factory,9.13E+11,app07-web-prod,linux,Amazon Linux,ip-10-104-208-39.us-east-2.compute.internal,web,prod,subnet-0f5fb36a682548c81,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.micro,Shared
6,App08,cloudendure_CoE_test_migration_factory,9.13E+11,app08-data-prod,linux,Amazon Linux,ip-10-104-208-12.us-east-2.compute.internal,data,prod,subnet-030f103e184a70c92,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.micro,Shared
6,App08,cloudendure_CoE_test_migration_factory,9.13E+11,app08-web-prod,linux,Amazon Linux,ip-10-104-208-37.us-east-2.compute.internal,web,prod,subnet-0f5fb36a682548c81,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.micro,Shared
6,App09,cloudendure_CoE_test_migration_factory,9.13E+11,app09-data-prod,linux,Amazon Linux,ip-10-104-208-48.us-east-2.compute.internal,data,prod,subnet-030f103e184a70c92,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.micro,Shared
6,App09,cloudendure_CoE_test_migration_factory,9.13E+11,app09-web-prod,linux,Amazon Linux,ip-10-104-208-5.us-east-2.compute.internal,web,prod,subnet-0f5fb36a682548c81,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.micro,Shared
6,App10,cloudendure_CoE_test_migration_factory,9.13E+11,app10-data-prod,linux,Amazon Linux,ip-10-104-208-19.us-east-2.compute.internal,data,prod,subnet-030f103e184a70c92,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.micro,Shared
6,App10,cloudendure_CoE_test_migration_factory,9.13E+11,app10-web-prod,linux,Amazon Linux,ip-10-104-208-25.us-east-2.compute.internal,web,prod,subnet-0f5fb36a682548c81,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.micro,Shared
6,App11,cloudendure_CoE_test_migration_factory,9.13E+11,app11-data-prod,linux,Amazon Linux,ip-10-104-208-36.us-east-2.compute.internal,data,prod,subnet-030f103e184a70c92,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.micro,Shared
6,App11,cloudendure_CoE_test_migration_factory,9.13E+11,app11-web-prod,linux,Amazon Linux,ip-10-104-208-27.us-east-2.compute.internal,web,prod,subnet-0f5fb36a682548c81,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.micro,Shared
6,App12,cloudendure_CoE_test_migration_factory,9.13E+11,app12-data-prod,linux,Amazon Linux,ip-10-104-208-26.us-east-2.compute.internal,data,prod,subnet-030f103e184a70c92,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.micro,Shared
6,App12,cloudendure_CoE_test_migration_factory,9.13E+11,app12-web-prod,linux,Amazon Linux,ip-10-104-208-35.us-east-2.compute.internal,web,prod,subnet-0f5fb36a682548c81,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.micro,Shared
6,App04,cloudendure_CoE_test_migration_factory,9.13E+11,app04-data-prod,linux,Amazon Linux,ip-10-104-208-52.us-east-2.compute.internal,data,prod,subnet-030f103e184a70c92,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.small,Shared
6,App04,cloudendure_CoE_test_migration_factory,9.13E+11,app04-web-prod,linux,Amazon Linux,ip-10-104-208-7.us-east-2.compute.internal,web,prod,subnet-0f5fb36a682548c81,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.small,Shared
6,App05,cloudendure_CoE_test_migration_factory,9.13E+11,app05-data-prod,linux,Amazon Linux,ip-10-104-208-34.us-east-2.compute.internal,data,prod,subnet-030f103e184a70c92,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.small,Shared
6,App05,cloudendure_CoE_test_migration_factory,9.13E+11,app05-web-prod,linux,Amazon Linux,ip-10-104-208-15.us-east-2.compute.internal,web,prod,subnet-0f5fb36a682548c81,sg-0a4ce9905f8c1881d,subnet-0b31fe56d0c0c7f6e,sg-08a50ab7a4f6aba31,t2.small,Shared
